report_date,report_begin_date,report_end_date,year,month,commodity,group,region,price_min,price_max,price_Unit,report_narrative,commodity_narrative
01/01/1996,01/01/1996,01/05/1996,1996,1,Cream,Class II,Midwest,1.0419,1.0947,Dollars per Pound,,
01/08/1996,01/08/1996,01/12/1996,1996,1,Cream,Class II,Midwest,1.0419,1.0947,Dollars per Pound,,
01/15/1996,01/15/1996,01/19/1996,1996,1,Cream,Class II,Midwest,0.945,1.035,Dollars per Pound,,
01/22/1996,01/22/1996,01/26/1996,1996,1,Cream,Class II,Midwest,0.945,1.035,Dollars per Pound,,
01/29/1996,01/29/1996,02/02/1996,1996,1,Cream,Class II,Midwest,0.8946,0.9798,Dollars per Pound,,
02/05/1996,02/05/1996,02/09/1996,1996,2,Cream,Class II,Midwest,0.819,0.884,Dollars per Pound,,
02/12/1996,02/12/1996,02/16/1996,1996,2,Cream,Class II,Midwest,0.8775,0.8905,Dollars per Pound,,
02/19/1996,02/19/1996,02/23/1996,1996,2,Cream,Class II,Midwest,0.8775,0.8905,Dollars per Pound,,
02/26/1996,02/26/1996,03/01/1996,1996,2,Cream,Class II,Midwest,0.8775,0.8905,Dollars per Pound,,
03/04/1996,03/04/1996,03/08/1996,1996,3,Cream,Class II,Midwest,0.8775,0.897,Dollars per Pound,,
03/11/1996,03/11/1996,03/15/1996,1996,3,Cream,Class II,Midwest,0.8775,0.897,Dollars per Pound,,
03/18/1996,03/18/1996,03/22/1996,1996,3,Cream,Class II,Midwest,0.8905,0.897,Dollars per Pound,,
03/25/1996,03/25/1996,03/29/1996,1996,3,Cream,Class II,Midwest,0.897,0.9035,Dollars per Pound,,
04/01/1996,04/01/1996,04/05/1996,1996,4,Cream,Class II,Midwest,0.897,0.91,Dollars per Pound,,
04/08/1996,04/08/1996,04/12/1996,1996,4,Cream,Class II,Midwest,0.897,0.91,Dollars per Pound,,
04/15/1996,04/15/1996,04/19/1996,1996,4,Cream,Class II,Midwest,0.91,0.9295,Dollars per Pound,,
04/22/1996,04/22/1996,04/26/1996,1996,4,Cream,Class II,Midwest,1.064,1.0868,Dollars per Pound,,
04/29/1996,04/29/1996,05/03/1996,1996,4,Cream,Class II,Midwest,1.078,1.1165,Dollars per Pound,,
05/06/1996,05/06/1996,05/10/1996,1996,5,Cream,Class II,Midwest,1.1455,1.1534,Dollars per Pound,,
05/13/1996,05/13/1996,05/17/1996,1996,5,Cream,Class II,Midwest,1.1297,1.1534,Dollars per Pound,,
05/20/1996,05/20/1996,05/24/1996,1996,5,Cream,Class II,Midwest,1.3536,1.3912,Dollars per Pound,,
05/27/1996,05/27/1996,05/31/1996,1996,5,Cream,Class II,Midwest,1.456,1.5392,Dollars per Pound,,
06/03/1996,06/03/1996,06/07/1996,1996,6,Cream,Class II,Midwest,1.652,1.77,Dollars per Pound,,
06/10/1996,06/10/1996,06/14/1996,1996,6,Cream,Class II,Midwest,1.8705,1.935,Dollars per Pound,,
06/17/1996,06/17/1996,06/21/1996,1996,6,Cream,Class II,Midwest,1.9092,2.0382,Dollars per Pound,,
06/24/1996,06/24/1996,06/28/1996,1996,6,Cream,Class II,Midwest,2.0433,2.1545,Dollars per Pound,,
07/01/1996,07/01/1996,07/05/1996,1996,7,Cream,Class II,Midwest,2.1168,2.16,Dollars per Pound,,
07/08/1996,07/08/1996,07/12/1996,1996,7,Cream,Class II,Midwest,2.1168,2.304,Dollars per Pound,,
07/15/1996,07/15/1996,07/19/1996,1996,7,Cream,Class II,Midwest,2.1168,2.232,Dollars per Pound,,
07/22/1996,07/22/1996,07/26/1996,1996,7,Cream,Class II,Midwest,2.1609,2.2344,Dollars per Pound,,
07/29/1996,07/29/1996,08/02/1996,1996,7,Cream,Class II,Midwest,2.1025,2.204,Dollars per Pound,,
08/05/1996,08/05/1996,08/09/1996,1996,8,Cream,Class II,Midwest,2.1025,2.204,Dollars per Pound,,
08/12/1996,08/12/1996,08/16/1996,1996,8,Cream,Class II,Midwest,2.001,2.146,Dollars per Pound,,
08/19/1996,08/19/1996,08/23/1996,1996,8,Cream,Class II,Midwest,2.001,2.146,Dollars per Pound,,
08/26/1996,08/26/1996,08/30/1996,1996,8,Cream,Class II,Midwest,2.001,2.146,Dollars per Pound,,
09/02/1996,09/02/1996,09/06/1996,1996,9,Cream,Class II,Midwest,1.972,2.146,Dollars per Pound,,
09/09/1996,09/09/1996,09/13/1996,1996,9,Cream,Class II,Midwest,1.972,2.146,Dollars per Pound,,
09/16/1996,09/16/1996,09/20/1996,1996,9,Cream,Class II,Midwest,1.972,2.1025,Dollars per Pound,,
09/23/1996,09/23/1996,09/27/1996,1996,9,Cream,Class II,Midwest,1.972,2.117,Dollars per Pound,,
09/30/1996,09/30/1996,10/04/1996,1996,9,Cream,Class II,Midwest,1.9575,2.117,Dollars per Pound,,
10/07/1996,10/07/1996,10/11/1996,1996,10,Cream,Class II,Midwest,1.9285,2.117,Dollars per Pound,,
10/14/1996,10/14/1996,10/18/1996,1996,10,Cream,Class II,Midwest,1.6764,1.7952,Dollars per Pound,,
10/21/1996,10/21/1996,10/25/1996,1996,10,Cream,Class II,Midwest,1.0706,1.378,Dollars per Pound,,
10/28/1996,10/28/1996,11/01/1996,1996,10,Cream,Class II,Midwest,1.0706,1.378,Dollars per Pound,,
11/04/1996,11/04/1996,11/08/1996,1996,11,Cream,Class II,Midwest,1.056,1.248,Dollars per Pound,,
11/11/1996,11/11/1996,11/15/1996,1996,11,Cream,Class II,Midwest,0.8576,0.8832,Dollars per Pound,,
11/18/1996,11/18/1996,11/22/1996,1996,11,Cream,Class II,Midwest,0.8448,0.896,Dollars per Pound,,
11/25/1996,11/25/1996,11/29/1996,1996,11,Cream,Class II,Midwest,0.8448,0.896,Dollars per Pound,,
12/02/1996,12/02/1996,12/06/1996,1996,12,Cream,Class II,Midwest,0.8448,0.896,Dollars per Pound,,
12/09/1996,12/09/1996,12/13/1996,1996,12,Cream,Class II,Midwest,0.8832,1.0766,Dollars per Pound,,
12/16/1996,12/16/1996,12/20/1996,1996,12,Cream,Class II,Midwest,1.0634,1.1093,Dollars per Pound,,
12/23/1996,12/23/1996,12/27/1996,1996,12,Cream,Class II,Midwest,1.04,1.12,Dollars per Pound,,
12/30/1996,12/30/1996,01/03/1997,1996,12,Cream,Class II,Midwest,1.04,1.16,Dollars per Pound,,
01/06/1997,01/06/1997,01/10/1997,1997,1,Cream,Class II,Midwest,1.04,1.136,Dollars per Pound,,
01/13/1997,01/13/1997,01/17/1997,1997,1,Cream,Class II,Midwest,1,1.136,Dollars per Pound,,
01/20/1997,01/20/1997,01/24/1997,1997,1,Cream,Class II,Midwest,1.008,1.128,Dollars per Pound,,
01/27/1997,01/27/1997,01/31/1997,1997,1,Cream,Class II,Midwest,1.0812,1.2197,Dollars per Pound,,
02/03/1997,02/03/1997,02/07/1997,1997,2,Cream,Class II,Midwest,1.1505,1.2302,Dollars per Pound,,
02/10/1997,02/10/1997,02/14/1997,1997,2,Cream,Class II,Midwest,1.1904,1.2927,Dollars per Pound,,
02/17/1997,02/17/1997,02/21/1997,1997,2,Cream,Class II,Midwest,1.407,1.4595,Dollars per Pound,,
02/24/1997,02/24/1997,02/28/1997,1997,2,Cream,Class II,Midwest,1.407,1.4805,Dollars per Pound,,
03/03/1997,03/03/1997,03/07/1997,1997,3,Cream,Class II,Midwest,1.407,1.4805,Dollars per Pound,,
03/10/1997,03/10/1997,03/14/1997,1997,3,Cream,Class II,Midwest,1.4628,1.5052,Dollars per Pound,,
03/17/1997,03/17/1997,03/21/1997,1997,3,Cream,Class II,Midwest,1.3992,1.5052,Dollars per Pound,,
03/24/1997,03/24/1997,03/28/1997,1997,3,Cream,Class II,Midwest,1.431,1.5052,Dollars per Pound,,
03/31/1997,03/31/1997,04/04/1997,1997,3,Cream,Class II,Midwest,1.431,1.5052,Dollars per Pound,,
04/07/1997,04/07/1997,04/11/1997,1997,4,Cream,Class II,Midwest,1.378,1.5052,Dollars per Pound,,
04/14/1997,04/14/1997,04/18/1997,1997,4,Cream,Class II,Midwest,1.2462,1.3206,Dollars per Pound,,
04/21/1997,04/21/1997,04/25/1997,1997,4,Cream,Class II,Midwest,1.04,1.136,Dollars per Pound,,
04/28/1997,04/28/1997,05/02/1997,1997,4,Cream,Class II,Midwest,1.1016,1.1502,Dollars per Pound,,
05/05/1997,05/05/1997,05/09/1997,1997,5,Cream,Class II,Midwest,1.1097,1.1502,Dollars per Pound,,
05/12/1997,05/12/1997,05/16/1997,1997,5,Cream,Class II,Midwest,1.1097,1.1502,Dollars per Pound,,
05/19/1997,05/19/1997,05/23/1997,1997,5,Cream,Class II,Midwest,1.1628,1.2141,Dollars per Pound,,
05/26/1997,05/26/1997,05/30/1997,1997,5,Cream,Class II,Midwest,1.3524,1.4112,Dollars per Pound,,
06/02/1997,06/02/1997,06/06/1997,1997,6,Cream,Class II,Midwest,1.512,1.554,Dollars per Pound,,
06/09/1997,06/09/1997,06/13/1997,1997,6,Cream,Class II,Midwest,1.512,1.554,Dollars per Pound,,
06/16/1997,06/16/1997,06/20/1997,1997,6,Cream,Class II,Midwest,1.5225,1.575,Dollars per Pound,,
06/23/1997,06/23/1997,06/27/1997,1997,6,Cream,Class II,Midwest,1.5225,1.5645,Dollars per Pound,,
06/30/1997,06/30/1997,07/04/1997,1997,6,Cream,Class II,Midwest,1.5225,1.575,Dollars per Pound,,
07/07/1997,07/07/1997,07/11/1997,1997,7,Cream,Class II,Midwest,1.533,1.582,Dollars per Pound,,
07/14/1997,07/14/1997,07/18/1997,1997,7,Cream,Class II,Midwest,1.4454,1.498,Dollars per Pound,,
07/21/1997,07/21/1997,07/25/1997,1997,7,Cream,Class II,Midwest,1.47,1.519,Dollars per Pound,,
07/28/1997,07/28/1997,08/01/1997,1997,7,Cream,Class II,Midwest,1.3872,1.54,Dollars per Pound,,
08/04/1997,08/04/1997,08/08/1997,1997,8,Cream,Class II,Midwest,1.4586,1.54,Dollars per Pound,,
08/11/1997,08/11/1997,08/15/1997,1997,8,Cream,Class II,Midwest,1.4586,1.5708,Dollars per Pound,,
08/18/1997,08/18/1997,08/22/1997,1997,8,Cream,Class II,Midwest,1.4935,1.5862,Dollars per Pound,,
08/25/1997,08/25/1997,08/29/1997,1997,8,Cream,Class II,Midwest,1.4645,1.5554,Dollars per Pound,,
09/01/1997,09/01/1997,09/05/1997,1997,9,Cream,Class II,Midwest,1.3775,1.463,Dollars per Pound,,
09/08/1997,09/08/1997,09/12/1997,1997,9,Cream,Class II,Midwest,1.392,1.4784,Dollars per Pound,,
09/15/1997,09/15/1997,09/19/1997,1997,9,Cream,Class II,Midwest,1.43,1.54,Dollars per Pound,,
09/22/1997,09/22/1997,09/26/1997,1997,9,Cream,Class II,Midwest,1.5515,1.6478,Dollars per Pound,,
09/29/1997,09/29/1997,10/03/1997,1997,9,Cream,Class II,Midwest,1.74,1.848,Dollars per Pound,,
10/06/1997,10/06/1997,10/10/1997,1997,10,Cream,Class II,Midwest,1.7545,1.8634,Dollars per Pound,,
10/13/1997,10/13/1997,10/17/1997,1997,10,Cream,Class II,Midwest,1.7545,1.8634,Dollars per Pound,,
10/20/1997,10/20/1997,10/24/1997,1997,10,Cream,Class II,Midwest,1.8705,2.0124,Dollars per Pound,,
10/27/1997,10/27/1997,10/31/1997,1997,10,Cream,Class II,Midwest,1.84,2.366,Dollars per Pound,,
11/03/1997,11/03/1997,11/07/1997,1997,11,Cream,Class II,Midwest,1.86,2.0433,Dollars per Pound,,
11/10/1997,11/10/1997,11/14/1997,1997,11,Cream,Class II,Midwest,1.86,2.0433,Dollars per Pound,,
11/17/1997,11/17/1997,11/21/1997,1997,11,Cream,Class II,Midwest,2.0631,2.1528,Dollars per Pound,,
11/24/1997,11/24/1997,11/28/1997,1997,11,Cream,Class II,Midwest,2.0631,2.1528,Dollars per Pound,,
